,rseed,num_req,adm_rate,succ_order_rate,service_rate,policy,pct
172,23,158,9.4937,100.0,9.4937,FOFS,72
173,24,185,7.5676,100.0,7.5676,FOFS,72
174,25,166,8.4337,100.0,8.4337,FOFS,72
175,26,182,6.5934,100.0,6.5934,FOFS,72
176,27,186,6.9892,100.0,6.9892,FOFS,72
177,28,174,6.8966,100.0,6.8966,FOFS,72
178,29,169,7.1006,100.0,7.1006,FOFS,72
179,30,165,8.4848,100.0,8.4848,FOFS,72
180,31,154,8.4416,100.0,8.4416,FOFS,72
181,32,160,8.125,100.0,8.125,FOFS,72
182,33,181,6.6298,100.0,6.6298,FOFS,72
183,34,144,9.7222,100.0,9.7222,FOFS,72
184,35,185,7.027,100.0,7.027,FOFS,72
185,36,173,8.6705,100.0,8.6705,FOFS,72
186,37,182,7.6923,100.0,7.6923,FOFS,72
187,38,185,7.027,100.0,7.027,FOFS,72
188,39,188,5.3191,100.0,5.3191,FOFS,72
189,40,156,7.6923,100.0,7.6923,FOFS,72
190,41,160,8.125,100.0,8.125,FOFS,72
191,42,156,8.3333,100.0,8.3333,FOFS,72
192,43,164,8.5366,100.0,8.5366,FOFS,72
193,44,170,6.4706,100.0,6.4706,FOFS,72
194,45,169,9.4675,100.0,9.4675,FOFS,72
195,46,133,9.0226,100.0,9.0226,FOFS,72
196,47,173,6.3584,100.0,6.3584,FOFS,72
197,48,163,6.7485,100.0,6.7485,FOFS,72
198,49,172,7.5581,100.0,7.5581,FOFS,72
199,50,179,7.2626,100.0,7.2626,FOFS,72
200,1,144,9.0278,100.0,9.0278,FOFS,73
201,2,155,9.0323,100.0,9.0323,FOFS,73
202,3,179,7.8212,100.0,7.8212,FOFS,73
203,4,179,8.3799,100.0,8.3799,FOFS,73
204,5,160,9.375,100.0,9.375,FOFS,73
205,6,167,6.5868,100.0,6.5868,FOFS,73
206,7,164,7.9268,100.0,7.9268,FOFS,73
207,8,165,9.0909,100.0,9.0909,FOFS,73
208,9,180,8.3333,100.0,8.3333,FOFS,73
209,10,162,7.4074,100.0,7.4074,FOFS,73
210,11,180,7.2222,100.0,7.2222,FOFS,73
211,12,152,10.5263,100.0,10.5263,FOFS,73
212,13,145,9.6552,100.0,9.6552,FOFS,73
213,14,164,7.3171,100.0,7.3171,FOFS,73
214,15,154,9.0909,100.0,9.0909,FOFS,73
215,16,168,7.7381,100.0,7.7381,FOFS,73
216,17,182,6.044,100.0,6.044,FOFS,73
217,18,180,7.7778,100.0,7.7778,FOFS,73
218,19,161,7.4534,100.0,7.4534,FOFS,73
219,20,204,5.3922,100.0,5.3922,FOFS,73
220,21,178,6.7416,100.0,6.7416,FOFS,73
221,22,159,7.5472,100.0,7.5472,FOFS,73
222,23,158,9.4937,100.0,9.4937,FOFS,73
223,24,185,7.5676,100.0,7.5676,FOFS,73
224,25,166,8.4337,100.0,8.4337,FOFS,73
225,26,182,6.5934,100.0,6.5934,FOFS,73
226,27,186,6.9892,100.0,6.9892,FOFS,73
227,28,174,6.8966,100.0,6.8966,FOFS,73
228,29,169,7.1006,100.0,7.1006,FOFS,73
229,30,165,8.4848,100.0,8.4848,FOFS,73
230,31,154,8.4416,100.0,8.4416,FOFS,73
231,32,160,8.125,100.0,8.125,FOFS,73
232,33,181,6.6298,100.0,6.6298,FOFS,73
233,34,144,9.7222,100.0,9.7222,FOFS,73
234,35,185,7.027,100.0,7.027,FOFS,73
235,36,173,8.6705,100.0,8.6705,FOFS,73
236,37,182,7.6923,100.0,7.6923,FOFS,73
237,38,185,7.027,100.0,7.027,FOFS,73
238,39,188,5.3191,100.0,5.3191,FOFS,73
239,40,156,7.6923,100.0,7.6923,FOFS,73
240,41,160,8.125,100.0,8.125,FOFS,73
241,42,156,8.3333,100.0,8.3333,FOFS,73
242,43,164,8.5366,100.0,8.5366,FOFS,73
243,44,170,6.4706,100.0,6.4706,FOFS,73
244,45,169,9.4675,100.0,9.4675,FOFS,73
245,46,133,9.0226,100.0,9.0226,FOFS,73
246,47,173,6.3584,100.0,6.3584,FOFS,73
247,48,163,6.7485,100.0,6.7485,FOFS,73
248,49,172,7.5581,100.0,7.5581,FOFS,73
249,50,179,7.2626,100.0,7.2626,FOFS,73
250,1,144,9.0278,100.0,9.0278,FOFS,74
251,2,155,9.0323,100.0,9.0323,FOFS,74
252,3,179,7.8212,100.0,7.8212,FOFS,74
253,4,179,8.3799,100.0,8.3799,FOFS,74
254,5,160,9.375,100.0,9.375,FOFS,74
255,6,167,6.5868,100.0,6.5868,FOFS,74
256,7,164,7.9268,100.0,7.9268,FOFS,74
257,8,165,9.0909,100.0,9.0909,FOFS,74
258,9,180,8.3333,100.0,8.3333,FOFS,74
259,10,162,7.4074,100.0,7.4074,FOFS,74
260,11,180,7.2222,100.0,7.2222,FOFS,74
261,12,152,10.5263,100.0,10.5263,FOFS,74
262,13,145,9.6552,100.0,9.6552,FOFS,74
263,14,164,7.3171,100.0,7.3171,FOFS,74
264,15,154,9.0909,100.0,9.0909,FOFS,74
265,16,168,7.7381,100.0,7.7381,FOFS,74
266,17,182,6.044,100.0,6.044,FOFS,74
267,18,180,7.7778,100.0,7.7778,FOFS,74
268,19,161,7.4534,100.0,7.4534,FOFS,74
269,20,204,5.3922,100.0,5.3922,FOFS,74
270,21,178,6.7416,100.0,6.7416,FOFS,74
271,22,159,7.5472,100.0,7.5472,FOFS,74
272,23,158,9.4937,100.0,9.4937,FOFS,74
273,24,185,7.5676,100.0,7.5676,FOFS,74
274,25,166,8.4337,100.0,8.4337,FOFS,74
275,26,182,6.5934,100.0,6.5934,FOFS,74
276,27,186,6.9892,100.0,6.9892,FOFS,74
277,28,174,6.8966,100.0,6.8966,FOFS,74
278,29,169,7.1006,100.0,7.1006,FOFS,74
279,30,165,8.4848,100.0,8.4848,FOFS,74
280,31,154,8.4416,100.0,8.4416,FOFS,74
281,32,160,8.125,100.0,8.125,FOFS,74
282,33,181,6.6298,100.0,6.6298,FOFS,74
283,34,144,9.7222,100.0,9.7222,FOFS,74
284,35,185,7.027,100.0,7.027,FOFS,74
285,36,173,8.6705,100.0,8.6705,FOFS,74
286,37,182,7.6923,100.0,7.6923,FOFS,74
287,38,185,7.027,100.0,7.027,FOFS,74
288,39,188,5.3191,100.0,5.3191,FOFS,74
289,40,156,7.6923,100.0,7.6923,FOFS,74
290,41,160,8.125,100.0,8.125,FOFS,74
291,42,156,8.3333,100.0,8.3333,FOFS,74
292,43,164,8.5366,100.0,8.5366,FOFS,74
293,44,170,6.4706,100.0,6.4706,FOFS,74
294,45,169,9.4675,100.0,9.4675,FOFS,74
295,46,133,9.0226,100.0,9.0226,FOFS,74
296,47,173,6.3584,100.0,6.3584,FOFS,74
297,48,163,6.7485,100.0,6.7485,FOFS,74
298,49,172,7.5581,100.0,7.5581,FOFS,74
299,50,179,7.2626,100.0,7.2626,FOFS,74
300,1,144,9.0278,100.0,9.0278,FOFS,75
301,2,155,9.0323,100.0,9.0323,FOFS,75
302,3,179,7.8212,100.0,7.8212,FOFS,75
303,4,179,8.3799,100.0,8.3799,FOFS,75
304,5,160,9.375,100.0,9.375,FOFS,75
305,6,167,6.5868,100.0,6.5868,FOFS,75
306,7,164,7.9268,100.0,7.9268,FOFS,75
307,8,165,9.0909,100.0,9.0909,FOFS,75
308,9,180,8.3333,100.0,8.3333,FOFS,75
309,10,162,7.4074,100.0,7.4074,FOFS,75
310,11,180,7.2222,100.0,7.2222,FOFS,75
311,12,152,10.5263,100.0,10.5263,FOFS,75
312,13,145,9.6552,100.0,9.6552,FOFS,75
313,14,164,7.3171,100.0,7.3171,FOFS,75
314,15,154,9.0909,100.0,9.0909,FOFS,75
315,16,168,7.7381,100.0,7.7381,FOFS,75
316,17,182,6.044,100.0,6.044,FOFS,75
317,18,180,7.7778,100.0,7.7778,FOFS,75
318,19,161,7.4534,100.0,7.4534,FOFS,75
319,20,204,5.3922,100.0,5.3922,FOFS,75
320,21,178,6.7416,100.0,6.7416,FOFS,75
321,22,159,7.5472,100.0,7.5472,FOFS,75
322,23,158,9.4937,100.0,9.4937,FOFS,75
323,24,185,7.5676,100.0,7.5676,FOFS,75
324,25,166,8.4337,100.0,8.4337,FOFS,75
325,26,182,6.5934,100.0,6.5934,FOFS,75
326,27,186,6.9892,100.0,6.9892,FOFS,75
327,28,174,6.8966,100.0,6.8966,FOFS,75
328,29,169,7.1006,100.0,7.1006,FOFS,75
329,30,165,8.4848,100.0,8.4848,FOFS,75
330,31,154,8.4416,100.0,8.4416,FOFS,75
331,32,160,8.125,100.0,8.125,FOFS,75
332,33,181,6.6298,100.0,6.6298,FOFS,75
333,34,144,9.7222,100.0,9.7222,FOFS,75
334,35,185,7.027,100.0,7.027,FOFS,75
335,36,173,8.6705,100.0,8.6705,FOFS,75
336,37,182,7.6923,100.0,7.6923,FOFS,75
337,38,185,7.027,100.0,7.027,FOFS,75
338,39,188,5.3191,100.0,5.3191,FOFS,75
339,40,156,7.6923,100.0,7.6923,FOFS,75
340,41,160,8.125,100.0,8.125,FOFS,75
341,42,156,8.3333,100.0,8.3333,FOFS,75
342,43,164,8.5366,100.0,8.5366,FOFS,75
343,44,170,6.4706,100.0,6.4706,FOFS,75
344,45,169,9.4675,100.0,9.4675,FOFS,75
345,46,133,9.0226,100.0,9.0226,FOFS,75
346,47,173,6.3584,100.0,6.3584,FOFS,75
347,48,163,6.7485,100.0,6.7485,FOFS,75
348,49,172,7.5581,100.0,7.5581,FOFS,75
349,50,179,7.2626,100.0,7.2626,FOFS,75
350,1,144,9.0278,100.0,9.0278,FOFS,76
351,2,155,9.0323,100.0,9.0323,FOFS,76
352,3,179,7.8212,100.0,7.8212,FOFS,76
353,4,179,8.3799,100.0,8.3799,FOFS,76
354,5,160,9.375,100.0,9.375,FOFS,76
355,6,167,6.5868,100.0,6.5868,FOFS,76
356,7,164,7.9268,100.0,7.9268,FOFS,76
357,8,165,9.0909,100.0,9.0909,FOFS,76
358,9,180,8.3333,100.0,8.3333,FOFS,76
359,10,162,7.4074,100.0,7.4074,FOFS,76
360,11,180,7.2222,100.0,7.2222,FOFS,76
361,12,152,10.5263,100.0,10.5263,FOFS,76
362,13,145,9.6552,100.0,9.6552,FOFS,76
363,14,164,7.3171,100.0,7.3171,FOFS,76
364,15,154,9.0909,100.0,9.0909,FOFS,76
365,16,168,7.7381,100.0,7.7381,FOFS,76
366,17,182,6.044,100.0,6.044,FOFS,76
367,18,180,7.7778,100.0,7.7778,FOFS,76
368,19,161,7.4534,100.0,7.4534,FOFS,76
369,20,204,5.3922,100.0,5.3922,FOFS,76
370,21,178,6.7416,100.0,6.7416,FOFS,76
371,22,159,7.5472,100.0,7.5472,FOFS,76
372,23,158,9.4937,100.0,9.4937,FOFS,76
373,24,185,7.5676,100.0,7.5676,FOFS,76
374,25,166,8.4337,100.0,8.4337,FOFS,76
375,26,182,6.5934,100.0,6.5934,FOFS,76
376,27,186,6.9892,100.0,6.9892,FOFS,76
377,28,174,6.8966,100.0,6.8966,FOFS,76
378,29,169,7.1006,100.0,7.1006,FOFS,76
379,30,165,8.4848,100.0,8.4848,FOFS,76
380,31,154,8.4416,100.0,8.4416,FOFS,76
381,32,160,8.125,100.0,8.125,FOFS,76
382,33,181,6.6298,100.0,6.6298,FOFS,76
383,34,144,9.7222,100.0,9.7222,FOFS,76
384,35,185,7.027,100.0,7.027,FOFS,76
385,36,173,8.6705,100.0,8.6705,FOFS,76
386,37,182,7.6923,100.0,7.6923,FOFS,76
387,38,185,7.027,100.0,7.027,FOFS,76
388,39,188,5.3191,100.0,5.3191,FOFS,76
389,40,156,7.6923,100.0,7.6923,FOFS,76
390,41,160,8.125,100.0,8.125,FOFS,76
391,42,156,8.3333,100.0,8.3333,FOFS,76
392,43,164,8.5366,100.0,8.5366,FOFS,76
393,44,170,6.4706,100.0,6.4706,FOFS,76
394,45,169,9.4675,100.0,9.4675,FOFS,76
395,46,133,9.0226,100.0,9.0226,FOFS,76
396,47,173,6.3584,100.0,6.3584,FOFS,76
397,48,163,6.7485,100.0,6.7485,FOFS,76
398,49,172,7.5581,100.0,7.5581,FOFS,76
399,50,179,7.2626,100.0,7.2626,FOFS,76
400,1,144,9.0278,100.0,9.0278,FOFS,78
401,2,155,9.0323,100.0,9.0323,FOFS,78
402,3,179,7.8212,100.0,7.8212,FOFS,78
403,4,179,8.3799,100.0,8.3799,FOFS,78
404,5,160,9.375,100.0,9.375,FOFS,78
405,6,167,6.5868,100.0,6.5868,FOFS,78
406,7,164,7.9268,100.0,7.9268,FOFS,78
407,8,165,9.0909,100.0,9.0909,FOFS,78
408,9,180,8.3333,100.0,8.3333,FOFS,78
409,10,162,7.4074,100.0,7.4074,FOFS,78
410,11,180,7.2222,100.0,7.2222,FOFS,78
411,12,152,10.5263,100.0,10.5263,FOFS,78
412,13,145,9.6552,100.0,9.6552,FOFS,78
413,14,164,7.3171,100.0,7.3171,FOFS,78
