,rseed,num_req,adm_rate,succ_order_rate,service_rate
EDD-4-IT0-future_cstp,14,147,15.6463,65.2174,10.2041
EDD-5-IT0-future_cstp,14,147,15.6463,65.2174,10.2041
EDD-6-IT0-future_cstp,14,147,16.3265,62.5,10.2041
FOFS-ITInf-future_cstp,14,147,100.0,10.2041,10.2041
EDD-1-ITInf-future_cstp,14,147,100.0,10.2041,10.2041
EDD-2-ITInf-future_cstp,14,147,100.0,10.2041,10.2041
EDD-3-ITInf-future_cstp,14,147,100.0,10.2041,10.2041
EDD-4-ITInf-future_cstp,14,147,100.0,10.2041,10.2041
EDD-5-ITInf-future_cstp,14,147,100.0,10.2041,10.2041
EDD-6-ITInf-future_cstp,14,147,100.0,10.2041,10.2041
FOFS-IT0-current,15,136,7.3529,100.0,7.3529
EDD-1-IT0-current,15,136,53.6765,15.0685,8.0882
EDD-2-IT0-current,15,136,52.9412,15.2778,8.0882
EDD-3-IT0-current,15,136,51.4706,15.7143,8.0882
EDD-4-IT0-current,15,136,48.5294,16.6667,8.0882
EDD-5-IT0-current,15,136,47.0588,17.1875,8.0882
EDD-6-IT0-current,15,136,47.7941,16.9231,8.0882
FOFS-ITInf-current,15,136,100.0,9.5588,9.5588
EDD-1-ITInf-current,15,136,100.0,8.8235,8.8235
EDD-2-ITInf-current,15,136,100.0,8.8235,8.8235
EDD-3-ITInf-current,15,136,100.0,8.8235,8.8235
EDD-4-ITInf-current,15,136,100.0,8.8235,8.8235
EDD-5-ITInf-current,15,136,100.0,8.8235,8.8235
EDD-6-ITInf-current,15,136,100.0,8.8235,8.8235
FOFS-IT0-future,15,136,80.1471,11.0092,8.8235
EDD-1-IT0-future,15,136,84.5588,10.4348,8.8235
EDD-2-IT0-future,15,136,84.5588,10.4348,8.8235
EDD-3-IT0-future,15,136,83.0882,10.6195,8.8235
EDD-4-IT0-future,15,136,83.0882,10.6195,8.8235
EDD-5-IT0-future,15,136,80.8824,10.9091,8.8235
EDD-6-IT0-future,15,136,79.4118,11.1111,8.8235
FOFS-ITInf-future,15,136,100.0,9.5588,9.5588
EDD-1-ITInf-future,15,136,100.0,8.8235,8.8235
EDD-2-ITInf-future,15,136,100.0,8.8235,8.8235
EDD-3-ITInf-future,15,136,100.0,8.8235,8.8235
EDD-4-ITInf-future,15,136,100.0,8.8235,8.8235
EDD-5-ITInf-future,15,136,100.0,8.8235,8.8235
EDD-6-ITInf-future,15,136,100.0,8.8235,8.8235
FOFS-IT0-future_cstp,15,136,17.6471,50.0,8.8235
EDD-1-IT0-future_cstp,15,136,19.8529,48.1481,9.5588
EDD-2-IT0-future_cstp,15,136,19.8529,48.1481,9.5588
EDD-3-IT0-future_cstp,15,136,19.8529,48.1481,9.5588
EDD-4-IT0-future_cstp,15,136,19.1176,50.0,9.5588
EDD-5-IT0-future_cstp,15,136,19.1176,50.0,9.5588
EDD-6-IT0-future_cstp,15,136,19.1176,50.0,9.5588
FOFS-ITInf-future_cstp,15,136,100.0,9.5588,9.5588
EDD-1-ITInf-future_cstp,15,136,100.0,8.8235,8.8235
EDD-2-ITInf-future_cstp,15,136,100.0,8.8235,8.8235
EDD-3-ITInf-future_cstp,15,136,100.0,8.8235,8.8235
EDD-4-ITInf-future_cstp,15,136,100.0,8.8235,8.8235
EDD-5-ITInf-future_cstp,15,136,100.0,8.8235,8.8235
EDD-6-ITInf-future_cstp,15,136,100.0,8.8235,8.8235
FOFS-IT0-current,16,156,7.6923,100.0,7.6923
EDD-1-IT0-current,16,156,36.5385,22.807,8.3333
EDD-2-IT0-current,16,156,34.6154,24.0741,8.3333
EDD-3-IT0-current,16,156,33.9744,24.5283,8.3333
EDD-4-IT0-current,16,156,33.3333,25.0,8.3333
EDD-5-IT0-current,16,156,41.6667,21.5385,8.9744
EDD-6-IT0-current,16,156,42.3077,21.2121,8.9744
FOFS-ITInf-current,16,156,100.0,8.9744,8.9744
EDD-1-ITInf-current,16,156,100.0,9.6154,9.6154
EDD-2-ITInf-current,16,156,100.0,9.6154,9.6154
EDD-3-ITInf-current,16,156,100.0,9.6154,9.6154
EDD-4-ITInf-current,16,156,100.0,9.6154,9.6154
EDD-5-ITInf-current,16,156,100.0,9.6154,9.6154
EDD-6-ITInf-current,16,156,100.0,9.6154,9.6154
FOFS-IT0-future,16,156,56.4103,14.7727,8.3333
EDD-1-IT0-future,16,156,80.1282,12.8,10.2564
EDD-2-IT0-future,16,156,79.4872,12.9032,10.2564
EDD-3-IT0-future,16,156,79.4872,12.9032,10.2564
EDD-4-IT0-future,16,156,78.2051,13.1148,10.2564
EDD-5-IT0-future,16,156,68.5897,15.8879,10.8974
EDD-6-IT0-future,16,156,67.9487,16.9811,11.5385
FOFS-ITInf-future,16,156,100.0,8.9744,8.9744
EDD-1-ITInf-future,16,156,100.0,9.6154,9.6154
EDD-2-ITInf-future,16,156,100.0,9.6154,9.6154
EDD-3-ITInf-future,16,156,100.0,9.6154,9.6154
EDD-4-ITInf-future,16,156,100.0,9.6154,9.6154
EDD-5-ITInf-future,16,156,100.0,9.6154,9.6154
EDD-6-ITInf-future,16,156,100.0,9.6154,9.6154
FOFS-IT0-future_cstp,16,156,14.7436,56.5217,8.3333
EDD-1-IT0-future_cstp,16,156,14.7436,56.5217,8.3333
EDD-2-IT0-future_cstp,16,156,14.7436,56.5217,8.3333
EDD-3-IT0-future_cstp,16,156,14.7436,56.5217,8.3333
EDD-4-IT0-future_cstp,16,156,14.1026,59.0909,8.3333
EDD-5-IT0-future_cstp,16,156,16.0256,56.0,8.9744
EDD-6-IT0-future_cstp,16,156,15.3846,62.5,9.6154
FOFS-ITInf-future_cstp,16,156,100.0,8.9744,8.9744
EDD-1-ITInf-future_cstp,16,156,100.0,9.6154,9.6154
EDD-2-ITInf-future_cstp,16,156,100.0,9.6154,9.6154
EDD-3-ITInf-future_cstp,16,156,100.0,9.6154,9.6154
EDD-4-ITInf-future_cstp,16,156,100.0,9.6154,9.6154
EDD-5-ITInf-future_cstp,16,156,100.0,9.6154,9.6154
EDD-6-ITInf-future_cstp,16,156,100.0,9.6154,9.6154
FOFS-IT0-current,17,171,6.4327,100.0,6.4327
EDD-1-IT0-current,17,171,44.4444,19.7368,8.7719
EDD-2-IT0-current,17,171,50.8772,17.2414,8.7719
EDD-3-IT0-current,17,171,46.7836,17.5,8.1871
EDD-4-IT0-current,17,171,45.0292,18.1818,8.1871
EDD-5-IT0-current,17,171,43.8596,18.6667,8.1871
EDD-6-IT0-current,17,171,42.1053,19.4444,8.1871
FOFS-ITInf-current,17,171,100.0,7.6023,7.6023
EDD-1-ITInf-current,17,171,100.0,7.6023,7.6023
EDD-2-ITInf-current,17,171,100.0,7.6023,7.6023
EDD-3-ITInf-current,17,171,100.0,7.6023,7.6023
EDD-4-ITInf-current,17,171,100.0,7.6023,7.6023
EDD-5-ITInf-current,17,171,100.0,7.6023,7.6023
EDD-6-ITInf-current,17,171,100.0,7.6023,7.6023
FOFS-IT0-future,17,171,84.2105,9.0278,7.6023
EDD-1-IT0-future,17,171,78.9474,11.1111,8.7719
EDD-2-IT0-future,17,171,66.6667,14.0351,9.3567
EDD-3-IT0-future,17,171,65.4971,13.3929,8.7719
EDD-4-IT0-future,17,171,65.4971,11.6071,7.6023
EDD-5-IT0-future,17,171,65.4971,11.6071,7.6023
EDD-6-IT0-future,17,171,65.4971,11.6071,7.6023
FOFS-ITInf-future,17,171,100.0,7.6023,7.6023
EDD-1-ITInf-future,17,171,100.0,7.6023,7.6023
EDD-2-ITInf-future,17,171,100.0,7.6023,7.6023
EDD-3-ITInf-future,17,171,100.0,7.6023,7.6023
EDD-4-ITInf-future,17,171,100.0,7.6023,7.6023
EDD-5-ITInf-future,17,171,100.0,7.6023,7.6023
EDD-6-ITInf-future,17,171,100.0,7.6023,7.6023
FOFS-IT0-future_cstp,17,171,11.6959,60.0,7.0175
EDD-1-IT0-future_cstp,17,171,10.5263,72.2222,7.6023
EDD-2-IT0-future_cstp,17,171,11.1111,63.1579,7.0175
EDD-3-IT0-future_cstp,17,171,11.1111,68.4211,7.6023
EDD-4-IT0-future_cstp,17,171,11.1111,63.1579,7.0175
EDD-5-IT0-future_cstp,17,171,11.1111,63.1579,7.0175
EDD-6-IT0-future_cstp,17,171,12.2807,66.6667,8.1871
FOFS-ITInf-future_cstp,17,171,100.0,7.6023,7.6023
EDD-1-ITInf-future_cstp,17,171,100.0,7.6023,7.6023
EDD-2-ITInf-future_cstp,17,171,100.0,7.6023,7.6023
EDD-3-ITInf-future_cstp,17,171,100.0,7.6023,7.6023
EDD-4-ITInf-future_cstp,17,171,100.0,7.6023,7.6023
EDD-5-ITInf-future_cstp,17,171,100.0,7.6023,7.6023
EDD-6-ITInf-future_cstp,17,171,100.0,7.6023,7.6023
FOFS-IT0-current,18,157,7.6433,100.0,7.6433
EDD-1-IT0-current,18,157,50.3185,16.4557,8.2803
EDD-2-IT0-current,18,157,49.6815,16.6667,8.2803
EDD-3-IT0-current,18,157,46.4968,17.8082,8.2803
EDD-4-IT0-current,18,157,46.4968,17.8082,8.2803
EDD-5-IT0-current,18,157,44.586,18.5714,8.2803
EDD-6-IT0-current,18,157,42.0382,19.697,8.2803
FOFS-ITInf-current,18,157,100.0,9.5541,9.5541
EDD-1-ITInf-current,18,157,100.0,8.2803,8.2803
EDD-2-ITInf-current,18,157,100.0,8.2803,8.2803
EDD-3-ITInf-current,18,157,100.0,8.2803,8.2803
EDD-4-ITInf-current,18,157,100.0,8.2803,8.2803
EDD-5-ITInf-current,18,157,100.0,8.2803,8.2803
EDD-6-ITInf-current,18,157,100.0,8.2803,8.2803
FOFS-IT0-future,18,157,77.707,11.4754,8.9172
EDD-1-IT0-future,18,157,85.9873,8.8889,7.6433
EDD-2-IT0-future,18,157,85.3503,8.9552,7.6433
EDD-3-IT0-future,18,157,84.0764,9.0909,7.6433
EDD-4-IT0-future,18,157,84.7134,9.0226,7.6433
EDD-5-IT0-future,18,157,83.4395,9.1603,7.6433
EDD-6-IT0-future,18,157,82.1656,9.3023,7.6433
FOFS-ITInf-future,18,157,100.0,9.5541,9.5541
EDD-1-ITInf-future,18,157,100.0,8.2803,8.2803
EDD-2-ITInf-future,18,157,100.0,8.2803,8.2803
EDD-3-ITInf-future,18,157,100.0,8.2803,8.2803
EDD-4-ITInf-future,18,157,100.0,8.2803,8.2803
EDD-5-ITInf-future,18,157,100.0,8.2803,8.2803
EDD-6-ITInf-future,18,157,100.0,8.2803,8.2803
FOFS-IT0-future_cstp,18,157,16.5605,50.0,8.2803
EDD-1-IT0-future_cstp,18,157,15.9236,48.0,7.6433
